linha_produto,cod_item,desc_global,score,method
AZATIOPRINA (50MG COMPRIMIDO REVESTIDO),87052,olanzapina 5 mg com rev,0.72,fuzz_token_set
AZITROMICINA DI-HIDRATADA (500MG COMPRIMIDO REVESTIDO) ,86499,azitromicina 500 mg com rev,0.74,fuzz_token_set
AZITROMICINA DI-HIDRATADA (500MG PO LIOF SOL INFUS IV FA) ,86500,azitromicina 500 mg po liof inj fa,0.81,fuzz_token_set
AZITROMICINA DI-HIDRATADA (900MG PO LIOF SOL INFUS FA),86500,azitromicina 500 mg po liof inj fa,0.81,fuzz_token_set
"AZTREONAM (1,0G PO LIOF INJ IV/IM FA)",86501,aztreonam 1 g po liof inj fa,0.96,fuzz_token_set
AZUL DE CRESIL BRILHANTE 100ML,87710,verde brilhante 100 mg/ml amp 1 ml esteril,0.67,fuzz_token_set
BACITRACINA ZINCICA+SULFATO DE NEOMICINA TOPICO (5MG+250UI/G BG POM),87022,neomicina + bacitracina 5 mg/g + 250 ui/g pom derm bg 15g,0.74,fuzz_token_set
BACLOFENO SOLIDO (CP/CAP/PO) ORAL,86502,baclofeno 10 mg com,0.64,fuzz_token_set
BANHO LEITO-TOALHA UMED ANTISSEPTICA TNT,83926,toalhas umedecidas hig cutaneo banho completo,0.61,fuzz_token_set
BARREIRA PROTETORA- RIODERM PROTECTION,92718,protetor auricular tipo concha,0.6,fuzz_token_set
BELIMUMABE (120MG PO LIOFILO PARA SOLUCAO INJETAVEL IV),86603,golimumabe 50mg sol inj iv fras 4 ml simponi,0.64,fuzz_token_set
BELIMUMABE (200MG SOLUCAO INJETAVEL SC SERINGA 1 ML),87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,0.7,fuzz_token_set
BELIMUMABE (400MG PO LIOFILO PARA SOLUCAO INJETAVEL IV),86603,golimumabe 50mg sol inj iv fras 4 ml simponi,0.67,fuzz_token_set
BENZILPENICILINA BENZATINA (300.000UI/ML SUS INJ IM FA 4ML),86508,benzilpenicilina benzatina 1.200.000 ui sus inj im fa 4 ml benzetacil,0.86,fuzz_token_set
BENZILPENICILINA POTASSICA (5.000.000UI PO INJ IM/IV FA) ,86509,benzilpenicilina potássica 5.000.000 ui sol inj fa,0.92,fuzz_token_set
BENZILPENICILINA PROCAINA+BENZILPENICILINA POTASSICA ( 400.000UI INJ IM),86509,benzilpenicilina potássica 5.000.000 ui sol inj fa,0.8,fuzz_token_set
BENZOATO DE ALOGLIPTINA,87215,supositorio de glicerina adulto,0.59,fuzz_token_set
BENZODIAZEPÂ¿NICOS SOLIDO (CP/CAP/PO)ORAL,86774,esomeprazol sodico 40 mg po liof inj fa,0.49,fuzz_token_set
BENZOILMETRONIDAZOL (40 MG/ML SUSPENSÂ¿O ORAL 100ML),86510,benzoilmetronidazol 40 mg/ml sus or fr 120 ml,0.84,fuzz_token_set
BENZOILMETRONIDAZOL (40 MG/ML SUSPENSÂ¿O ORAL 120ML),86510,benzoilmetronidazol 40 mg/ml sus or fr 120 ml,0.86,fuzz_token_set
BESILATO DE ANLODIPINO (10MG CPR SIMPLES),86483,anlodipino 5 mg com,0.69,fuzz_token_set
